,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,feature,cluster,group.1,significant
PTPRA_CD8 T-Cell,0.173394818974337,0.018184754304447,0.399,0.462,1,PTPRA,CD8 T-Cell,Cl_1_3,FALSE
CCAR1_CD8 T-Cell,0.173943879915623,0.0730541397957395,0.284,0.336,1,CCAR1,CD8 T-Cell,Cl_1_3,FALSE
RPS11_CD8 T-Cell,0.17498639079476,0.0622641378669919,0.92,0.948,1,RPS11,CD8 T-Cell,Cl_1_3,FALSE
DGUOK_CD8 T-Cell,0.175482268171042,0.0694987122648633,0.399,0.474,1,DGUOK,CD8 T-Cell,Cl_1_3,FALSE
JAK3_CD8 T-Cell,0.177057129802054,0.0433988458223677,0.339,0.394,1,JAK3,CD8 T-Cell,Cl_1_3,FALSE
ZCCHC7_CD8 T-Cell,0.177371483347483,0.0394863286824282,0.259,0.303,1,ZCCHC7,CD8 T-Cell,Cl_1_3,FALSE
ITGB7_CD8 T-Cell,0.177952956078509,0.126479420497485,0.605,0.631,1,ITGB7,CD8 T-Cell,Cl_1_3,FALSE
SP4_CD8 T-Cell,0.178780644313225,0.124286239414075,0.263,0.312,1,SP4,CD8 T-Cell,Cl_1_3,FALSE
ARL2BP_CD8 T-Cell,0.179393084977727,0.334188652105784,0.252,0.247,1,ARL2BP,CD8 T-Cell,Cl_1_3,FALSE
MYO9B_CD8 T-Cell,0.180459422744663,0.0308073464549319,0.317,0.369,1,MYO9B,CD8 T-Cell,Cl_1_3,FALSE
RBM39_CD8 T-Cell,0.180560502944295,-0.0392570259056562,0.758,0.823,1,RBM39,CD8 T-Cell,Cl_1_3,FALSE
UBLCP1_CD8 T-Cell,0.180807495617195,0.0818720257722428,0.239,0.279,1,UBLCP1,CD8 T-Cell,Cl_1_3,FALSE
DDX3X_CD8 T-Cell,0.181018806615472,0.0458975628765386,0.337,0.396,1,DDX3X,CD8 T-Cell,Cl_1_3,FALSE
COMMD1_CD8 T-Cell,0.181600430831104,0.0316324336215251,0.233,0.27,1,COMMD1,CD8 T-Cell,Cl_1_3,FALSE
ITGB1BP1_CD8 T-Cell,0.182614355673563,0.111588043863295,0.227,0.271,1,ITGB1BP1,CD8 T-Cell,Cl_1_3,FALSE
PAG1_CD8 T-Cell,0.182812627302737,-0.0099006860963774,0.545,0.627,1,PAG1,CD8 T-Cell,Cl_1_3,FALSE
SUPT16H_CD8 T-Cell,0.182868527123516,0.0433128393423936,0.287,0.333,1,SUPT16H,CD8 T-Cell,Cl_1_3,FALSE
COG5_CD8 T-Cell,0.184741424891122,0.160761030313458,0.514,0.524,1,COG5,CD8 T-Cell,Cl_1_3,FALSE
FBXO7_CD8 T-Cell,0.185407587300005,0.0304721866948018,0.425,0.504,1,FBXO7,CD8 T-Cell,Cl_1_3,FALSE
GLOD4_CD8 T-Cell,0.185985752338422,0.0834722005784324,0.216,0.25,1,GLOD4,CD8 T-Cell,Cl_1_3,FALSE
TMED9_CD8 T-Cell,0.186845945783816,-0.00533500754440477,0.38,0.445,1,TMED9,CD8 T-Cell,Cl_1_3,FALSE
