,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,feature,cluster,group.1,significant
ELOB_CD8 T-Cell,3.96770311618885e-15,-0.260339635229941,0.834,0.92,1.45225869458744e-10,ELOB,CD8 T-Cell,Cl_1_3,FALSE
PTP4A2_CD8 T-Cell,4.17013671942535e-15,-0.333622401053264,0.733,0.854,1.52635344204407e-10,PTP4A2,CD8 T-Cell,Cl_1_3,FALSE
ATE1_CD8 T-Cell,5.78661381206418e-15,-0.636359271030056,0.164,0.294,2.11801638749173e-10,ATE1,CD8 T-Cell,Cl_1_3,TRUE
EVL_CD8 T-Cell,5.92212839427116e-15,-0.335065179397616,0.725,0.848,2.16761743487113e-10,EVL,CD8 T-Cell,Cl_1_3,FALSE
VOPP1_CD8 T-Cell,6.63814292120881e-15,0.656017834442155,0.588,0.536,2.42969307202085e-10,VOPP1,CD8 T-Cell,Cl_1_3,TRUE
ZNHIT3_CD8 T-Cell,7.16444181274228e-15,-0.607494063190928,0.234,0.379,2.62232899229993e-10,ZNHIT3,CD8 T-Cell,Cl_1_3,TRUE
PNRC1_CD8 T-Cell,7.40045994387155e-15,0.349623586078854,0.921,0.91,2.70871634865586e-10,PNRC1,CD8 T-Cell,Cl_1_3,FALSE
LEPROTL1_CD8 T-Cell,8.12549192965415e-15,-0.410539062245125,0.539,0.713,2.97409255609201e-10,LEPROTL1,CD8 T-Cell,Cl_1_3,FALSE
HINT2_CD8 T-Cell,8.49827268077135e-15,-0.62244797283721,0.217,0.362,3.11053776661593e-10,HINT2,CD8 T-Cell,Cl_1_3,TRUE
CHPT1_CD8 T-Cell,1.1223564186709e-14,1.23677592055696,0.262,0.146,4.10804896361921e-10,CHPT1,CD8 T-Cell,Cl_1_3,TRUE
MRPL55_CD8 T-Cell,1.29812845787256e-14,-0.61634379638158,0.162,0.291,4.75140978150513e-10,MRPL55,CD8 T-Cell,Cl_1_3,TRUE
HCFC1R1_CD8 T-Cell,1.32888390120377e-14,-0.636678963709376,0.139,0.259,4.86398085518603e-10,HCFC1R1,CD8 T-Cell,Cl_1_3,TRUE
ARRB2_CD8 T-Cell,1.43649571274297e-14,-0.373534482415149,0.556,0.735,5.25786160778181e-10,ARRB2,CD8 T-Cell,Cl_1_3,FALSE
POP4_CD8 T-Cell,1.46300290358818e-14,-0.628588670007734,0.177,0.309,5.35488322771346e-10,POP4,CD8 T-Cell,Cl_1_3,TRUE
POLD4_CD8 T-Cell,1.59088086422959e-14,-0.435244439695926,0.421,0.592,5.82294213925313e-10,POLD4,CD8 T-Cell,Cl_1_3,FALSE
NOSIP_CD8 T-Cell,1.61592244013536e-14,-0.560536540289526,0.355,0.518,5.91459931538345e-10,NOSIP,CD8 T-Cell,Cl_1_3,FALSE
GLS_CD8 T-Cell,2.63194781327699e-14,0.694827150882417,0.538,0.464,9.63345538615644e-10,GLS,CD8 T-Cell,Cl_1_3,TRUE
MRPL54_CD8 T-Cell,3.06425036666805e-14,-0.474862460093702,0.371,0.544,1.12157691920784e-09,MRPL54,CD8 T-Cell,Cl_1_3,FALSE
PSMA4_CD8 T-Cell,3.44849186266931e-14,-0.531121520438641,0.287,0.439,1.26221699157422e-09,PSMA4,CD8 T-Cell,Cl_1_3,FALSE
HLA-F_CD8 T-Cell,3.65571854528067e-14,0.391527633799381,0.803,0.772,1.33806610194363e-09,HLA-F,CD8 T-Cell,Cl_1_3,FALSE
ATP5IF1_CD8 T-Cell,3.65846827183762e-14,-0.364988661284246,0.676,0.797,1.33907255685801e-09,ATP5IF1,CD8 T-Cell,Cl_1_3,FALSE
COX17_CD8 T-Cell,3.7157650705842e-14,0.92885043256791,0.42,0.329,1.36004433113523e-09,COX17,CD8 T-Cell,Cl_1_3,TRUE
SSR2_CD8 T-Cell,3.99810959608193e-14,-0.317776047787739,0.768,0.878,1.46338807435791e-09,SSR2,CD8 T-Cell,Cl_1_3,FALSE
SLA2_CD8 T-Cell,4.00733325816059e-14,-0.702770002912643,0.155,0.279,1.46676411915194e-09,SLA2,CD8 T-Cell,Cl_1_3,TRUE
CALM3_CD8 T-Cell,4.39615194578206e-14,-0.456402863615255,0.582,0.721,1.60907953519515e-09,CALM3,CD8 T-Cell,Cl_1_3,FALSE
DECR1_CD8 T-Cell,4.91075470431447e-14,-0.521487553245387,0.311,0.471,1.79743443687318e-09,DECR1,CD8 T-Cell,Cl_1_3,FALSE
RAP1A_CD8 T-Cell,4.99245626783259e-14,0.544862752912563,0.619,0.579,1.82733884315208e-09,RAP1A,CD8 T-Cell,Cl_1_3,FALSE
HMGN1_CD8 T-Cell,5.07696925683038e-14,0.417648910887913,0.795,0.768,1.85827228738506e-09,HMGN1,CD8 T-Cell,Cl_1_3,FALSE
MRPL47_CD8 T-Cell,5.16012663030031e-14,-0.504406001524843,0.178,0.312,1.88870954922252e-09,MRPL47,CD8 T-Cell,Cl_1_3,FALSE
PAM_CD8 T-Cell,5.45183822096109e-14,-0.450704463779229,0.377,0.544,1.99548182563618e-09,PAM,CD8 T-Cell,Cl_1_3,FALSE
ZDHHC12_CD8 T-Cell,5.58934373088327e-14,-0.690461062476206,0.142,0.258,2.04581159237789e-09,ZDHHC12,CD8 T-Cell,Cl_1_3,TRUE
ATP5F1D_CD8 T-Cell,5.62653677707134e-14,-0.342212862437229,0.695,0.818,2.05942499114365e-09,ATP5F1D,CD8 T-Cell,Cl_1_3,FALSE
ABHD14B_CD8 T-Cell,7.27071727098539e-14,-0.48170855034811,0.332,0.497,2.66122793552607e-09,ABHD14B,CD8 T-Cell,Cl_1_3,FALSE
NPC2_CD8 T-Cell,8.60987315977417e-14,1.30234725985678,0.258,0.15,3.15138577394054e-09,NPC2,CD8 T-Cell,Cl_1_3,TRUE
FAM107B_CD8 T-Cell,9.71478487501193e-14,0.478511870053171,0.709,0.689,3.55580555995187e-09,FAM107B,CD8 T-Cell,Cl_1_3,FALSE
KLF10_CD8 T-Cell,1.21004557198675e-13,1.28137933310238,0.265,0.158,4.42900880258591e-09,KLF10,CD8 T-Cell,Cl_1_3,TRUE
NACA_CD8 T-Cell,1.22293347959874e-13,-0.157801483452272,0.989,0.998,4.4761811220273e-09,NACA,CD8 T-Cell,Cl_1_3,FALSE
GID8_CD8 T-Cell,1.24431295425096e-13,-0.554450472509269,0.211,0.349,4.55443427514935e-09,GID8,CD8 T-Cell,Cl_1_3,FALSE
CD37_CD8 T-Cell,1.31367500697723e-13,-0.269630079772246,0.83,0.924,4.80831326053806e-09,CD37,CD8 T-Cell,Cl_1_3,FALSE
RPL24_CD8 T-Cell,1.37830866862246e-13,-0.168695551811021,0.986,0.994,5.04488538889191e-09,RPL24,CD8 T-Cell,Cl_1_3,FALSE
DPYD_CD8 T-Cell,1.6311246219982e-13,0.86281265026466,0.436,0.339,5.97024234143782e-09,DPYD,CD8 T-Cell,Cl_1_3,TRUE
TENT5C_CD8 T-Cell,1.75443191876667e-13,-0.530807034759122,0.316,0.473,6.42157170906977e-09,TENT5C,CD8 T-Cell,Cl_1_3,FALSE
COX8A_CD8 T-Cell,1.93211318548135e-13,-0.32958041351298,0.783,0.883,7.07192068149885e-09,COX8A,CD8 T-Cell,Cl_1_3,FALSE
UBA52_CD8 T-Cell,2.23251590111918e-13,-0.165163485931008,0.984,0.992,8.17145470127642e-09,UBA52,CD8 T-Cell,Cl_1_3,FALSE
LITAF_CD8 T-Cell,2.2349646479174e-13,-0.281048042392535,0.764,0.883,8.18041760430726e-09,LITAF,CD8 T-Cell,Cl_1_3,FALSE
IFNAR2_CD8 T-Cell,2.45824334220828e-13,-0.580870223371592,0.176,0.301,8.99766228115075e-09,IFNAR2,CD8 T-Cell,Cl_1_3,FALSE
TSPAN14_CD8 T-Cell,2.46764528219942e-13,-0.461579794037451,0.309,0.468,9.03207526190631e-09,TSPAN14,CD8 T-Cell,Cl_1_3,FALSE
NME1_CD8 T-Cell,2.8183483056824e-13,-0.530024604993953,0.193,0.327,1.03157184684587e-08,NME1,CD8 T-Cell,Cl_1_3,FALSE
UQCRQ_CD8 T-Cell,3.09340542858002e-13,-0.425386881809132,0.521,0.666,1.13224825496886e-08,UQCRQ,CD8 T-Cell,Cl_1_3,FALSE
SRRT_CD8 T-Cell,3.24141284091496e-13,-0.554369648656815,0.225,0.365,1.18642192803169e-08,SRRT,CD8 T-Cell,Cl_1_3,FALSE
VMA21_CD8 T-Cell,3.81037535869645e-13,-0.649512035885549,0.147,0.263,1.39467358879007e-08,VMA21,CD8 T-Cell,Cl_1_3,TRUE
MRPS34_CD8 T-Cell,3.87152306469949e-13,-0.430641928168909,0.333,0.501,1.41705487214131e-08,MRPS34,CD8 T-Cell,Cl_1_3,FALSE
HERC5_CD8 T-Cell,3.99040224221735e-13,1.02730366605981,0.36,0.261,1.46056702869639e-08,HERC5,CD8 T-Cell,Cl_1_3,TRUE
GLCCI1_CD8 T-Cell,5.17897836672093e-13,1.04479507769988,0.362,0.266,1.89560966178719e-08,GLCCI1,CD8 T-Cell,Cl_1_3,TRUE
TTN-AS1_CD8 T-Cell,5.26688466516103e-13,1.25579454336258,0.274,0.172,1.92778512514224e-08,TTN-AS1,CD8 T-Cell,Cl_1_3,TRUE
NSMCE2_CD8 T-Cell,5.44473709602195e-13,-0.516963218550069,0.251,0.391,1.99288267188595e-08,NSMCE2,CD8 T-Cell,Cl_1_3,FALSE
MT-ND4_CD8 T-Cell,6.64300828121056e-13,-0.451996761721449,0.553,0.705,2.43147389108869e-08,MT-ND4,CD8 T-Cell,Cl_1_3,FALSE
MAPKAPK5-AS1_CD8 T-Cell,7.71907856132774e-13,-0.540771079055876,0.21,0.345,2.82533713501718e-08,MAPKAPK5-AS1,CD8 T-Cell,Cl_1_3,FALSE
NDUFS5_CD8 T-Cell,7.75149706224894e-13,-0.31934778236906,0.665,0.815,2.83720295472436e-08,NDUFS5,CD8 T-Cell,Cl_1_3,FALSE
MECP2_CD8 T-Cell,8.94315558280127e-13,-0.470622242825675,0.231,0.373,3.27337380641692e-08,MECP2,CD8 T-Cell,Cl_1_3,FALSE
MACF1_CD8 T-Cell,1.01039283819307e-12,0.620599735053765,0.632,0.609,3.69823986635428e-08,MACF1,CD8 T-Cell,Cl_1_3,TRUE
SEPTIN9_CD8 T-Cell,1.04390845733646e-12,0.414334288495653,0.745,0.742,3.82091373554293e-08,SEPTIN9,CD8 T-Cell,Cl_1_3,FALSE
ARL5A_CD8 T-Cell,1.09856973509177e-12,-0.47360714385682,0.2,0.333,4.02098494438291e-08,ARL5A,CD8 T-Cell,Cl_1_3,FALSE
RPL14_CD8 T-Cell,1.16648039931514e-12,-0.144748110972769,0.995,0.999,4.26955155757326e-08,RPL14,CD8 T-Cell,Cl_1_3,FALSE
RASA3_CD8 T-Cell,1.26460730366177e-12,-0.347176392327845,0.56,0.739,4.62871565286281e-08,RASA3,CD8 T-Cell,Cl_1_3,FALSE
SLC1A4_CD8 T-Cell,1.27769793065756e-12,1.08494764281638,0.337,0.246,4.6766299657928e-08,SLC1A4,CD8 T-Cell,Cl_1_3,TRUE
CIR1_CD8 T-Cell,1.32124952291723e-12,-0.461037292992706,0.26,0.406,4.83603750378166e-08,CIR1,CD8 T-Cell,Cl_1_3,FALSE
RSL1D1_CD8 T-Cell,1.34947533665416e-12,-0.400695746542342,0.35,0.518,4.93934962722157e-08,RSL1D1,CD8 T-Cell,Cl_1_3,FALSE
SNHG29_CD8 T-Cell,1.48442263475981e-12,-0.336488214051033,0.645,0.809,5.43328372774787e-08,SNHG29,CD8 T-Cell,Cl_1_3,FALSE
R3HDM4_CD8 T-Cell,1.55416853586614e-12,-0.456606902344633,0.34,0.503,5.68856767497723e-08,R3HDM4,CD8 T-Cell,Cl_1_3,FALSE
AC004448.2_CD8 T-Cell,1.58934160037254e-12,-0.22816280411732,0.96,0.983,5.81730812568357e-08,AC004448.2,CD8 T-Cell,Cl_1_3,FALSE
GTF3C1_CD8 T-Cell,1.65512028144959e-12,-0.546797976078499,0.145,0.258,6.0580712541618e-08,GTF3C1,CD8 T-Cell,Cl_1_3,FALSE
C1QBP_CD8 T-Cell,1.65656594537995e-12,-0.455516971701885,0.314,0.469,6.06336267327971e-08,C1QBP,CD8 T-Cell,Cl_1_3,FALSE
R3HCC1L_CD8 T-Cell,1.87994066407857e-12,-0.599377176689906,0.158,0.274,6.8809588186604e-08,R3HCC1L,CD8 T-Cell,Cl_1_3,TRUE
PPP1R18_CD8 T-Cell,2.03700567427839e-12,-0.375162402151123,0.541,0.684,7.45584816899378e-08,PPP1R18,CD8 T-Cell,Cl_1_3,FALSE
TANK_CD8 T-Cell,2.07059956306086e-12,0.696026406838566,0.519,0.458,7.57880852071536e-08,TANK,CD8 T-Cell,Cl_1_3,TRUE
IL16_CD8 T-Cell,2.13866647098069e-12,0.6522319925138,0.533,0.479,7.8279470170835e-08,IL16,CD8 T-Cell,Cl_1_3,TRUE
TMEM183A_CD8 T-Cell,2.50118383465033e-12,-0.459517375526973,0.201,0.331,9.15483307158714e-08,TMEM183A,CD8 T-Cell,Cl_1_3,FALSE
ARPC4_CD8 T-Cell,2.68416582538338e-12,-0.369566871359247,0.565,0.7,9.82458375406825e-08,ARPC4,CD8 T-Cell,Cl_1_3,FALSE
SUPT3H_CD8 T-Cell,2.89082476148623e-12,-0.419091994507257,0.284,0.439,1.05809967919919e-07,SUPT3H,CD8 T-Cell,Cl_1_3,FALSE
MMADHC_CD8 T-Cell,2.91601930851727e-12,-0.439752568218309,0.298,0.455,1.06732138730349e-07,MMADHC,CD8 T-Cell,Cl_1_3,FALSE
RPS17_CD8 T-Cell,3.07643929249897e-12,-0.287672175411308,0.726,0.849,1.12603830984047e-07,RPS17,CD8 T-Cell,Cl_1_3,FALSE
SSH2_CD8 T-Cell,3.22639520298175e-12,0.648552404116361,0.516,0.446,1.18092517219538e-07,SSH2,CD8 T-Cell,Cl_1_3,TRUE
MRPS36_CD8 T-Cell,3.47209455601161e-12,-0.38584966324475,0.278,0.43,1.27085604939137e-07,MRPS36,CD8 T-Cell,Cl_1_3,FALSE
EEF2_CD8 T-Cell,3.82870348064269e-12,-0.198637905984124,0.941,0.98,1.40138204798484e-07,EEF2,CD8 T-Cell,Cl_1_3,FALSE
PRELID1_CD8 T-Cell,4.108063047209e-12,-0.373807565578079,0.557,0.701,1.50363323653944e-07,PRELID1,CD8 T-Cell,Cl_1_3,FALSE
KARS_CD8 T-Cell,4.23438876357039e-12,-0.518547391536504,0.184,0.308,1.54987097524203e-07,KARS,CD8 T-Cell,Cl_1_3,FALSE
ATF4_CD8 T-Cell,4.37159137271363e-12,-0.562253625466278,0.188,0.309,1.60008987424064e-07,ATF4,CD8 T-Cell,Cl_1_3,FALSE
MT1F_CD8 T-Cell,4.6479376887639e-12,-0.456958222630536,0.322,0.47,1.70123815284136e-07,MT1F,CD8 T-Cell,Cl_1_3,FALSE
ESYT2_CD8 T-Cell,4.68738856761106e-12,1.12435970264318,0.267,0.165,1.715677963517e-07,ESYT2,CD8 T-Cell,Cl_1_3,TRUE
DUSP1_CD8 T-Cell,4.83222729464055e-12,1.19962933666209,0.27,0.168,1.76869183438434e-07,DUSP1,CD8 T-Cell,Cl_1_3,TRUE
MHENCR_CD8 T-Cell,5.00048092130457e-12,-0.57727293521472,0.143,0.254,1.8302760268159e-07,MHENCR,CD8 T-Cell,Cl_1_3,FALSE
EEF1E1_CD8 T-Cell,5.05082064501759e-12,-0.565266015780512,0.147,0.258,1.84870137248934e-07,EEF1E1,CD8 T-Cell,Cl_1_3,FALSE
ANO6_CD8 T-Cell,5.08607732157805e-12,1.12249643373633,0.269,0.168,1.861606021244e-07,ANO6,CD8 T-Cell,Cl_1_3,TRUE
NCOA1_CD8 T-Cell,5.1910274602494e-12,-0.367402347858222,0.399,0.561,1.90001987100049e-07,NCOA1,CD8 T-Cell,Cl_1_3,FALSE
NDUFB3_CD8 T-Cell,5.23676588640412e-12,-0.517729613658456,0.294,0.424,1.91676104974164e-07,NDUFB3,CD8 T-Cell,Cl_1_3,FALSE
SARAF_CD8 T-Cell,5.25218158360235e-12,-0.25060653170982,0.917,0.968,1.92240350323013e-07,SARAF,CD8 T-Cell,Cl_1_3,FALSE
LCP2_CD8 T-Cell,5.3422888038226e-12,-0.381560962215299,0.524,0.677,1.95538454797515e-07,LCP2,CD8 T-Cell,Cl_1_3,FALSE
CHURC1_CD8 T-Cell,5.4510170715069e-12,-0.425521002489345,0.42,0.563,1.99518126851296e-07,CHURC1,CD8 T-Cell,Cl_1_3,FALSE
NDUFB11_CD8 T-Cell,6.56046553551832e-12,-0.3294961908374,0.683,0.816,2.40126159531041e-07,NDUFB11,CD8 T-Cell,Cl_1_3,FALSE
SUMF2_CD8 T-Cell,7.14505646309353e-12,-0.504768494596975,0.251,0.389,2.61523356662149e-07,SUMF2,CD8 T-Cell,Cl_1_3,FALSE
RPS6_CD8 T-Cell,7.5443931213069e-12,-0.175022810953946,0.992,0.998,2.76139877026075e-07,RPS6,CD8 T-Cell,Cl_1_3,FALSE
LINC01619_CD8 T-Cell,8.46749142494495e-12,0.63928048074865,0.494,0.395,3.09927121135835e-07,LINC01619,CD8 T-Cell,Cl_1_3,TRUE
DNM2_CD8 T-Cell,8.62795104462482e-12,-0.4087803962242,0.429,0.573,3.15800264135358e-07,DNM2,CD8 T-Cell,Cl_1_3,FALSE
TAB2_CD8 T-Cell,9.10887949695328e-12,0.807955964245477,0.447,0.371,3.33403207347484e-07,TAB2,CD8 T-Cell,Cl_1_3,TRUE
MZT2A_CD8 T-Cell,9.42175100215327e-12,-0.340741352509319,0.46,0.628,3.44854930180814e-07,MZT2A,CD8 T-Cell,Cl_1_3,FALSE
STAT3_CD8 T-Cell,9.58706653082426e-12,-0.416995087254356,0.304,0.462,3.5090580916123e-07,STAT3,CD8 T-Cell,Cl_1_3,FALSE
RHOF_CD8 T-Cell,1.04611073040392e-11,-0.43126423259889,0.425,0.571,3.82897449542444e-07,RHOF,CD8 T-Cell,Cl_1_3,FALSE
STK17A_CD8 T-Cell,1.07071534219347e-11,0.404195025308946,0.739,0.699,3.91903229549655e-07,STK17A,CD8 T-Cell,Cl_1_3,FALSE
PSMC1_CD8 T-Cell,1.0877516781836e-11,-0.436396156251485,0.292,0.438,3.98138869248762e-07,PSMC1,CD8 T-Cell,Cl_1_3,FALSE
DDX6_CD8 T-Cell,1.10186595185865e-11,-0.340993134087697,0.534,0.705,4.03304975699305e-07,DDX6,CD8 T-Cell,Cl_1_3,FALSE
GPCPD1_CD8 T-Cell,1.33777430087414e-11,-0.583501959475824,0.182,0.298,4.89652149605953e-07,GPCPD1,CD8 T-Cell,Cl_1_3,FALSE
ERP29_CD8 T-Cell,1.41771551128449e-11,-0.251086133669568,0.759,0.875,5.1891223144035e-07,ERP29,CD8 T-Cell,Cl_1_3,FALSE
HERPUD1_CD8 T-Cell,1.56882871242105e-11,0.384576291786154,0.811,0.785,5.74222685320354e-07,HERPUD1,CD8 T-Cell,Cl_1_3,FALSE
BABAM2_CD8 T-Cell,1.65466134850763e-11,-0.477430935983696,0.21,0.337,6.05639146780762e-07,BABAM2,CD8 T-Cell,Cl_1_3,FALSE
CHCHD1_CD8 T-Cell,1.79833773202058e-11,-0.617675398352797,0.16,0.268,6.58227576674171e-07,CHCHD1,CD8 T-Cell,Cl_1_3,TRUE
NUDT21_CD8 T-Cell,1.81019635107562e-11,-0.43117233602755,0.301,0.444,6.62568068420699e-07,NUDT21,CD8 T-Cell,Cl_1_3,FALSE
AGAP1_CD8 T-Cell,1.93608552675914e-11,-0.342600905923866,0.278,0.422,7.08646024504382e-07,AGAP1,CD8 T-Cell,Cl_1_3,FALSE
ATP5F1B_CD8 T-Cell,1.97598795929388e-11,-0.297215337290808,0.672,0.787,7.23251112860748e-07,ATP5F1B,CD8 T-Cell,Cl_1_3,FALSE
POLR2G_CD8 T-Cell,2.13733387714824e-11,-0.453901185763913,0.323,0.471,7.823069457138e-07,POLR2G,CD8 T-Cell,Cl_1_3,FALSE
FTH1_CD8 T-Cell,2.19862176845736e-11,-0.219425853323088,0.984,0.995,8.04739539690765e-07,FTH1,CD8 T-Cell,Cl_1_3,FALSE
FP236383.3_CD8 T-Cell,2.25489360585926e-11,0.215450651093468,1,1,8.25336157616608e-07,FP236383.3,CD8 T-Cell,Cl_1_3,FALSE
SHARPIN_CD8 T-Cell,2.28158004471255e-11,-0.418230288987509,0.247,0.386,8.35103927965688e-07,SHARPIN,CD8 T-Cell,Cl_1_3,FALSE
RSL24D1_CD8 T-Cell,2.32810828303742e-11,-0.325037351619943,0.493,0.658,8.52134193757357e-07,RSL24D1,CD8 T-Cell,Cl_1_3,FALSE
KRAS_CD8 T-Cell,2.39335183956213e-11,-0.404753527000265,0.27,0.414,8.7601464031653e-07,KRAS,CD8 T-Cell,Cl_1_3,FALSE
HSPE1_CD8 T-Cell,2.63473170114285e-11,-0.370329436735915,0.401,0.555,9.64364497252307e-07,HSPE1,CD8 T-Cell,Cl_1_3,FALSE
HLA-DRB5_CD8 T-Cell,2.67367694451526e-11,0.907311856467316,0.365,0.282,9.78619235231476e-07,HLA-DRB5,CD8 T-Cell,Cl_1_3,TRUE
FGFR1OP2_CD8 T-Cell,2.78838832239466e-11,0.791691591366479,0.422,0.342,1.02060589376289e-06,FGFR1OP2,CD8 T-Cell,Cl_1_3,TRUE
PABPC1_CD8 T-Cell,2.97036489686582e-11,-0.25243563464275,0.884,0.954,1.08721295955083e-06,PABPC1,CD8 T-Cell,Cl_1_3,FALSE
NCK1_CD8 T-Cell,2.9768072579784e-11,-0.447922431949029,0.245,0.378,1.08957099256525e-06,NCK1,CD8 T-Cell,Cl_1_3,FALSE
RFTN1_CD8 T-Cell,3.11418323429453e-11,0.523545272276876,0.571,0.506,1.13985334741648e-06,RFTN1,CD8 T-Cell,Cl_1_3,FALSE
TIMM8B_CD8 T-Cell,3.54668928248275e-11,-0.511325700594842,0.224,0.345,1.29815921117434e-06,TIMM8B,CD8 T-Cell,Cl_1_3,FALSE
LSM2_CD8 T-Cell,4.01533478412355e-11,-0.396429663019332,0.335,0.481,1.4696928376849e-06,LSM2,CD8 T-Cell,Cl_1_3,FALSE
TRAPPC2L_CD8 T-Cell,4.06011457283914e-11,-0.479842355584954,0.271,0.41,1.48608313595058e-06,TRAPPC2L,CD8 T-Cell,Cl_1_3,FALSE
CCDC107_CD8 T-Cell,4.08246481853852e-11,-0.415313685700856,0.262,0.397,1.49426377288147e-06,CCDC107,CD8 T-Cell,Cl_1_3,FALSE
PIN1_CD8 T-Cell,4.21569963576942e-11,-0.3589316947596,0.408,0.565,1.54303038068432e-06,PIN1,CD8 T-Cell,Cl_1_3,FALSE
JUND_CD8 T-Cell,4.2472717153734e-11,0.481191185690075,0.832,0.845,1.55458639326097e-06,JUND,CD8 T-Cell,Cl_1_3,FALSE
ATP5PD_CD8 T-Cell,4.35479275780856e-11,-0.371971721231335,0.439,0.597,1.59394124521309e-06,ATP5PD,CD8 T-Cell,Cl_1_3,FALSE
PLEKHJ1_CD8 T-Cell,4.37780729516007e-11,-0.448198440471031,0.251,0.386,1.60236502617449e-06,PLEKHJ1,CD8 T-Cell,Cl_1_3,FALSE
ITCH_CD8 T-Cell,4.4105776183694e-11,-0.446803212171312,0.268,0.405,1.61435961987557e-06,ITCH,CD8 T-Cell,Cl_1_3,FALSE
PPP5C_CD8 T-Cell,4.42725069854591e-11,-0.441189296400065,0.15,0.261,1.62046230068177e-06,PPP5C,CD8 T-Cell,Cl_1_3,FALSE
RBM3_CD8 T-Cell,4.82303571526348e-11,-0.232151660048952,0.663,0.804,1.76532753250074e-06,RBM3,CD8 T-Cell,Cl_1_3,FALSE
RPA2_CD8 T-Cell,4.85209195109381e-11,-0.462524834049323,0.215,0.342,1.77596269593935e-06,RPA2,CD8 T-Cell,Cl_1_3,FALSE
ITM2B_CD8 T-Cell,4.96012982646397e-11,-0.241227655067278,0.86,0.924,1.81550671908234e-06,ITM2B,CD8 T-Cell,Cl_1_3,FALSE
LAP3_CD8 T-Cell,4.99798584769565e-11,-0.467233420071269,0.23,0.358,1.82936277997356e-06,LAP3,CD8 T-Cell,Cl_1_3,FALSE
MED10_CD8 T-Cell,5.09629693957493e-11,-0.393545909841544,0.399,0.557,1.86534660582322e-06,MED10,CD8 T-Cell,Cl_1_3,FALSE
CBLL1_CD8 T-Cell,5.23627707766769e-11,-0.42859976580423,0.182,0.3,1.91658213596793e-06,CBLL1,CD8 T-Cell,Cl_1_3,FALSE
MGAT4A_CD8 T-Cell,5.29772811796202e-11,-0.304835485145074,0.573,0.729,1.93907444573646e-06,MGAT4A,CD8 T-Cell,Cl_1_3,FALSE
RAPGEF6_CD8 T-Cell,5.48927613943632e-11,-0.483827119794884,0.182,0.296,2.00918485255648e-06,RAPGEF6,CD8 T-Cell,Cl_1_3,FALSE
GRAP2_CD8 T-Cell,5.63005233481235e-11,-0.504539995198381,0.219,0.342,2.06071175558802e-06,GRAP2,CD8 T-Cell,Cl_1_3,FALSE
NDUFS8_CD8 T-Cell,6.02028801625292e-11,-0.34129357920878,0.368,0.535,2.2035458197089e-06,NDUFS8,CD8 T-Cell,Cl_1_3,FALSE
MSC_CD8 T-Cell,6.52920786407880e-11,1.06974648911105,0.286,0.197,2.38982066241012e-06,MSC,CD8 T-Cell,Cl_1_3,TRUE
BRK1_CD8 T-Cell,6.86700675248821e-11,-0.317121363855518,0.609,0.762,2.51346181154573e-06,BRK1,CD8 T-Cell,Cl_1_3,FALSE
PSMA3_CD8 T-Cell,7.15811661494888e-11,-0.430277729443397,0.304,0.447,2.62001384340359e-06,PSMA3,CD8 T-Cell,Cl_1_3,FALSE
FAM117A_CD8 T-Cell,7.18241971460132e-11,0.903505270429743,0.339,0.246,2.62890926393837e-06,FAM117A,CD8 T-Cell,Cl_1_3,TRUE
H2AFJ_CD8 T-Cell,7.68439435273966e-11,-0.452302023004694,0.157,0.266,2.81264202098977e-06,H2AFJ,CD8 T-Cell,Cl_1_3,FALSE
VEZF1_CD8 T-Cell,7.74393868018339e-11,0.920721244581773,0.325,0.231,2.83443643572072e-06,VEZF1,CD8 T-Cell,Cl_1_3,TRUE
MAML2_CD8 T-Cell,8.28036357116426e-11,0.851428290995459,0.337,0.239,3.03077867431754e-06,MAML2,CD8 T-Cell,Cl_1_3,TRUE
AC138123.1_CD8 T-Cell,9.40627314538471e-11,-0.305425910101905,0.61,0.772,3.44288409667371e-06,AC138123.1,CD8 T-Cell,Cl_1_3,FALSE
LIMD2_CD8 T-Cell,1.01827742556792e-10,-0.235033278109836,0.872,0.935,3.72709903306368e-06,LIMD2,CD8 T-Cell,Cl_1_3,FALSE
RPSA_CD8 T-Cell,1.15848309040487e-10,-0.137801787148192,0.992,0.998,4.2402798074999e-06,RPSA,CD8 T-Cell,Cl_1_3,FALSE
MRPS24_CD8 T-Cell,1.26352220128136e-10,-0.416070661760617,0.337,0.486,4.62474396113003e-06,MRPS24,CD8 T-Cell,Cl_1_3,FALSE
HSD17B11_CD8 T-Cell,1.32695145957285e-10,-0.400681179804339,0.246,0.381,4.85690773232853e-06,HSD17B11,CD8 T-Cell,Cl_1_3,FALSE
IQGAP1_CD8 T-Cell,1.34562754818733e-10,0.44535547408965,0.666,0.661,4.92526595187526e-06,IQGAP1,CD8 T-Cell,Cl_1_3,FALSE
BOLA3_CD8 T-Cell,1.37936934198953e-10,-0.423022592100754,0.156,0.267,5.04876766555007e-06,BOLA3,CD8 T-Cell,Cl_1_3,FALSE
HCP5_CD8 T-Cell,1.46771787008804e-10,1.00445898616675,0.275,0.181,5.37214094809623e-06,HCP5,CD8 T-Cell,Cl_1_3,TRUE
